Role Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Active?,Role Image,Responsibilities,Requirements,Discipline,School
Industrial Designer,industrial-designer,682978edd8c30949b2fd6bf0,68170b56936df62525bb06b5,682979a2b42d35f376ee45fa,false,false,Sun May 18 2025 06:09:38 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:13 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:13 GMT+0000 (Coordinated Universal Time),true,https://cdn.prod.website-files.com/68170b56936df62525bb06bd/68725562ca081c054854aa8e_industrial%20design%20engineer_edited.jpg,"<ul id="""">  <li>Ideate, conceptualise, prototype, iterate and implement innovative design solutions.</li>  <li>Create detailed sketches, 3D models, and renderings or animations to visualise concepts.</li>  <li>Collaborate with departments such as Body &amp; Chassis, Interior, Embedded Systems, Vehicle Dynamics or Software to ensure design integration and consistency.</li>  <li>Create and manage accurate and consistent design documentation throughout the process.</li></ul>","<ul id="""">  <li>Currently pursuing a degree in Industrial Design, 3D Visualisation or Interaction Design.</li>  <li>2nd year or above.</li>  <li>Proven design experience and projects.</li></ul>",Industrial Design,Engineering
Infotainment Engineer,infotainment-engineer,682978edd8c30949b2fd6bf0,68170b56936df62525bb06b5,682979a0b42d35f376ee44e7,false,false,Sun May 18 2025 06:09:36 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:12 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:12 GMT+0000 (Coordinated Universal Time),true,https://cdn.prod.website-files.com/68170b56936df62525bb06bd/68725731c61183291a54aabf_2021-12-13-Sunswift-test-drive-0079.avif,<ul><li>Design and develop the bespoke infotainment system for Sunswift 8 as well as complementary features (such as a companion app) for Sunswift 8. </li><li>Implement responsive user interfaces using modern UI frameworks </li><li>Design intuitive dashboards that optimise driver experience </li><li>Build backend services to support the infotainment and mobile applications </li><li>Collaborate with the Embedded Systems team to integrate vehicle sensor data</li></ul>,"<ul id="""">  <li>Proficiency with various UI frameworks such as Flutter and React, or a strong desire to learn.</li>  <li>Experience designing responsive user interfaces.</li>  <li>Ability to quickly learn and adapt to new technologies and challenges.</li>  <li>Excellent problem-solving and communication skills.</li>  <li>Currently pursuing and in at least your second year of computer science, software engineering or related degree.</li></ul>",Software Engineering,Engineering
Logistics and Event Planning,logistics-and-event-planning,682978edd8c30949b2fd6bf0,68170b56936df62525bb06b5,6829799f8ff3ea9a00240a20,false,false,Sun May 18 2025 06:09:35 GMT+0000 (Coordinated Universal Time),Mon Apr 20 2026 03:03:18 GMT+0000 (Coordinated Universal Time),Mon Apr 20 2026 03:03:18 GMT+0000 (Coordinated Universal Time),true,https://cdn.prod.website-files.com/68170b56936df62525bb06bd/687252f4c3f56167133904df_2021-12-13-Sunswift-test-drive-0007.jpg,"<ul><li>Plan and execute events (e.g. Tech Day, expos, competitions, Outreach Program) &nbsp;</li></ul><ul><li>Coordinate logistics including travel, accommodation, and schedules &nbsp;</li></ul><ul><li>Develop run sheets and manage on-the-day operations &nbsp;</li></ul><ul><li>Liaise with internal teams, sponsors, and external stakeholders &nbsp;</li></ul><ul><li>Ensure smooth delivery of events from planning to execution &nbsp;</li></ul><ul><li>Handle contingency planning and problem-solving during events &nbsp;</li></ul><p>‍</p><p>‍</p>",<ul><li>Strong organisational and time management skills &nbsp;</li></ul><ul><li>Ability to work under pressure in fast-paced environments &nbsp;</li></ul><ul><li>Excellent coordination and communication skills &nbsp;</li></ul><ul><li>Experience in event planning (preferred but not required) &nbsp;</li></ul><ul><li>Willingness to commit time during major events </li></ul><p>‍</p>,Business,Business
Marketing Manager,marketing-manager,682978edd8c30949b2fd6bf0,68170b56936df62525bb06b5,682979a1f9165ea00760e0c7,false,false,Sun May 18 2025 06:09:37 GMT+0000 (Coordinated Universal Time),Mon Apr 20 2026 03:03:18 GMT+0000 (Coordinated Universal Time),Mon Apr 20 2026 03:03:18 GMT+0000 (Coordinated Universal Time),false,https://cdn.prod.website-files.com/68170b56936df62525bb06bd/6872530f88eb67bdb268612e_systems%20engineer.jpeg,<ul><li>Develop marketing strategies and campaign ideas &nbsp;</li></ul><ul><li>Plan content direction and brand positioning &nbsp;</li></ul><ul><li>Collaborate with media team for execution of posts and content &nbsp;</li></ul><ul><li>Align messaging with Sunswift’s mission and achievements &nbsp;</li></ul><ul><li>Support event promotion and sponsor visibility &nbsp;</li></ul><ul><li>Analyse engagement and improve campaign performance &nbsp;</li></ul><p> </p><p>‍</p>,"<ul><li>Creativity and strategic thinking &nbsp;</li></ul><ul><li>Interest in branding, marketing, or communications &nbsp;</li></ul><ul><li>Strong understanding of social media trends &nbsp;</li></ul><ul><li>Ability to generate and pitch ideas &nbsp;</li></ul><ul><li>Collaboration skills when working with media/design teams </li></ul><p>‍</p>",Business,Business
Material Science Engineer,materials-engineer,682978edd8c30949b2fd6bf0,68170b56936df62525bb06b5,682979a052f601287ffa6dc3,false,false,Sun May 18 2025 06:09:36 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:12 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:12 GMT+0000 (Coordinated Universal Time),true,https://cdn.prod.website-files.com/68170b56936df62525bb06bd/6872556856017ecb7bbffc8d_materials%20science_edited.avif,"<ul><li>Select optimal materials throughout design phase accounting for performance, safety, and sustainability. </li></ul><ul><li>Conduct material testing to ensure compliance with design and safety standards. </li></ul><ul><li>Provide guidance on material-related issues across vehicle departments to integrate solutions into the overall vehicle design. </li></ul><ul><li>Document all work done including but not limited to test results, material selections, justifications, and recommendations through clear technical reporting. </li></ul><ul><li>Perform Life Cycle Assessments (LCA) to evaluate embodied energy and carbon footprint. </li></ul><p>‍</p>","<ul><li>Currently pursuing a degree in Materials Science and Engineering (or related discipline), with basic knowledge in materials processing techniques. </li></ul><ul><li>Preferably in 2nd year or above. </li></ul><ul><li>Proficiency or willingness to learn CAD and LCA software (e.g., SolidWorks, Ansys Granta EduPack). </li></ul><ul><li>Strong communication, teamwork, and time management skills. </li></ul><ul><li>(Optional) Experience in corrosion, fatigue, or composite analysis is beneficial. </li></ul><p>‍</p>",Material Science,Engineering
Mechanical Design Engineer – Chassis and Bodywork,mechanical-design-engineer---chassis-and-bodywork,682978edd8c30949b2fd6bf0,68170b56936df62525bb06b5,682979a2d3200066712823fe,false,false,Sun May 18 2025 06:09:38 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:13 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:13 GMT+0000 (Coordinated Universal Time),true,https://cdn.prod.website-files.com/68170b56936df62525bb06bd/687256a6b6ac4d56582e4e30_mechanical%20engineer.avif,"<ul id=""""><li>Design and maintain detailed CAD models and assemblies of various chassis components. </li></ul><ul id=""""><li>Optimise part performance and ensure compliance with Australian standards by using simulation software and real-world testing to analyse and evaluate components. &nbsp;</li></ul><ul id=""""><li>Employ various manufacturing methods and processes to fabricate composite and non-composite parts. &nbsp;</li></ul><ul id=""""><li>Keep up to date with advancements in materials science, manufacturing, and automotive engineering to be able to apply recent engineering innovations to current projects. &nbsp;</li></ul><ul id=""""><li>Collaborate effectively with engineers across departments and disciplines to ensure optimal integration of mechanical and electrical subsystems. </li></ul><p>‍</p>","<ul id=""""><li>Currently pursuing an undergraduate degree in Aerospace Engineering, Mechanical Engineering, Mechatronics Engineering or a related field. </li></ul><ul id=""""><li>Proficiency in CAD software (e.g. Solidworks) is essential. </li></ul><ul id=""""><li>Strong understanding of common manufacturing processes. </li></ul><ul id=""""><li><strong id="""">Bonus </strong>- knowledge in composite materials and manufacturing. </li></ul><ul id=""""><li><strong id="""">Bonus </strong>- has taken thermodynamics (MMAN2700) and has strong interest in thermal </li></ul><ul id=""""><li><strong id="""">Bonus </strong>- experience in FEA and/or CFD </li></ul><ul id=""""><li><strong id="""">Bonus </strong>- robotics experience or knowledge of electrical systems. </li></ul><p>‍</p>",Mechanical Engineering,Engineering
Mechanical Engineer - Embedded Systems,mechanical-engineer---embedded-systems,682978edd8c30949b2fd6bf0,68170b56936df62525bb06b5,69112569312fffc41ac3db56,false,false,Sun Nov 09 2025 23:36:09 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:12 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:12 GMT+0000 (Coordinated Universal Time),true,https://cdn.prod.website-files.com/68170b56936df62525bb06bd/69d5c719efa045cd69dab554_MEch%20Embd.jpg,"<ul id=""""><li>Design and develop mechanical housings and mounting brackets for sensors, control units, and PCBs throughout the vehicle. </li></ul><ul id=""""><li>Create CAD models for custom enclosures that protect electronic components from vibration, dust, and moisture. </li></ul><ul id=""""><li>Design cable routing solutions </li></ul><ul id=""""><li>Collaborate closely with the mechanical and embedded departments to ensure mechanical comparability, optimal placement, and ease of access. </li></ul><ul id=""""><li>Prototype custom brackets and enclosures using 3D printing, laser cutting, and basic fabrication techniques.</li></ul><p>‍</p>","<ul id=""""><li>Currently pursuing an undergraduate degree in Mechanical Engineering, Mechatronics Engineering, or a related field. </li></ul><ul id=""""><li>Proficiency in CAD software (e.g., SolidWorks) is essential. </li></ul><ul id=""""><li>Strong understanding of mechanical design principles and common manufacturing processes. </li></ul><ul id=""""><li>Ability to work collaboratively with electrical and software engineers. </li></ul><ul id=""""><li>Hands-on experience with prototyping and basic fabrication techniques. </li></ul><ul id=""""><li>Solid understanding of mechanical design principles, fastening methods, and vibration isolation techniques. </li></ul><ul id=""""><li>Strong communication and teamwork skills; able to collaborate across mechanical and electrical teams. </li></ul><ul id=""""><li><strong id="""">Bonus</strong> - Basic understanding of electronics (what sensors and PCBs look like, how to handle them safely). </li></ul><ul id=""""><li><strong id="""">Bonus</strong> - Experience with FEA software. </li></ul>",Mechanical Engineering,Engineering
Mechanical Engineer - Energy Systems ,mechanical-engineer---energy-systems,682978edd8c30949b2fd6bf0,68170b56936df62525bb06b5,69112503c87ecd715d3b3f5b,false,false,Sun Nov 09 2025 23:34:27 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:12 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:12 GMT+0000 (Coordinated Universal Time),true,https://cdn.prod.website-files.com/68170b56936df62525bb06bd/691142d4a085c0a8254577ae_Mech%20ENS.JPG,"<ul id=""""><li>Design and maintain detailed CAD models and assemblies of various chassis components.  </li></ul><ul id=""""><li>Optimise part performance and ensure compliance with Australian standards by using simulation software and real-world testing to analyse and evaluate components.   </li></ul><ul id=""""><li>Employ various manufacturing methods and processes to fabricate composite and non-composite parts.   </li></ul><ul id=""""><li>Keep up to date with advancements in materials science, manufacturing, and automotive engineering to be able to apply recent engineering innovations to current projects.   </li></ul><ul id=""""><li>Collaborate effectively with engineers across departments and disciplines to ensure optimal integration of mechanical and electrical subsystems.  </li></ul><p>‍</p>","<ul id=""""><li>Currently pursuing an undergraduate degree in Mechanical and Manufacturing Engineering, Aerospace Engineering, Mechatronics, or a related field.  </li></ul><ul id=""""><li>Strong proficiency in CAD software (e.g. SolidWorks) is mandatory.   </li></ul><ul id=""""><li>Experience with FEA software (e.g., Ansys Mechanical, Ansys Fluent) is ideal.   </li></ul><ul id=""""><li>Strong understanding of common manufacturing processes in automotive engineering. </li></ul><ul id=""""><li>Prior robotics experience or knowledge of electrical systems to help with subsystem integration. (Preferred)  </li></ul><p>‍</p>",Mechanical Engineering,Engineering
Mechanical Engineer - Interior,interior-engineer,682978edd8c30949b2fd6bf0,68170b56936df62525bb06b5,6829799f00d93f05c1599a08,false,false,Sun May 18 2025 06:09:35 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:12 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:12 GMT+0000 (Coordinated Universal Time),true,https://cdn.prod.website-files.com/68170b56936df62525bb06bd/6872558183adc662f7973c47_2021-12-13-Sunswift-test-drive-0018.avif,"<ul><li>Design and develop mechanical housings and mounting brackets for sensors, control units, and PCBs throughout the vehicle. </li></ul><ul><li>Create CAD models for custom enclosures that protect electronic components from vibration, dust, and moisture. </li></ul><ul><li>Design cable routing solutions </li></ul><ul><li>Collaborate closely with the mechanical and embedded departments to ensure mechanical comparability, optimal placement, and ease of access. </li></ul><ul><li>Prototype custom brackets and enclosures using 3D printing, laser cutting, and basic fabrication techniques.</li></ul><p>‍</p><p>‍</p>","<ul id=""""><li>Currently pursuing an undergraduate degree in Mechanical Engineering, Aerospace Engineering, Mechatronics Engineering or a related field. </li></ul><ul id=""""><li>Proficiency in CAD software (e.g., Solidworks) is essential. </li></ul><ul id=""""><li>Strong understanding of common manufacturing processes. </li></ul><ul id=""""><li><strong id="""">Bonus </strong>- knowledge in surface modelling </li></ul><ul id=""""><li><strong id="""">Bonus </strong>- knowledge in composite materials and manufacturing. </li></ul><ul id=""""><li><strong id="""">Bonus </strong>- proficiency in FEA. </li></ul><p>‍</p>",Mechanical Engineering,Engineering
Mechanical Engineer - Interior ,mechanical-engineer---interior,682978edd8c30949b2fd6bf0,68170b56936df62525bb06b5,69d5148fa65eb1fcf8f05ef4,false,false,Tue Apr 07 2026 14:28:31 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:13 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:13 GMT+0000 (Coordinated Universal Time),false,,"<ul><li>Design and develop mechanical housings and mounting brackets for sensors, control units, and PCBs throughout the vehicle. </li></ul><ul><li>Create CAD models for custom enclosures that protect electronic components from vibration, dust, and moisture. </li></ul><ul><li>Design cable routing solutions </li></ul><ul><li>Collaborate closely with the mechanical and embedded departments to ensure mechanical comparability, optimal placement, and ease of access. </li></ul><ul><li>Prototype custom brackets and enclosures using 3D printing, laser cutting, and basic fabrication techniques.</li></ul><p>‍</p>","<ul><li>Currently pursuing an undergraduate degree in Mechanical Engineering, Mechatronics Engineering, or a related field. </li></ul><ul><li>Proficiency in CAD software (e.g., SolidWorks) is essential. </li></ul><ul><li>Strong understanding of mechanical design principles and common manufacturing processes. </li></ul><ul><li>Ability to work collaboratively with electrical and software engineers. </li></ul><ul><li>Hands-on experience with prototyping and basic fabrication techniques. </li></ul><ul><li>Solid understanding of mechanical design principles, fastening methods, and vibration isolation techniques. </li></ul><ul><li>Strong communication and teamwork skills; able to collaborate across mechanical and electrical teams. </li></ul><ul><li><strong>Bonus</strong> - Basic understanding of electronics (what sensors and PCBs look like, how to handle them safely). </li></ul><ul><li><strong>Bonus</strong> - Experience with FEA software. </li></ul><p>‍</p>",Mechanical Engineering,Engineering
Mechanical Engineer - Vehicle Dynamics,vehicle-dynamics-engineer,682978edd8c30949b2fd6bf0,68170b56936df62525bb06b5,682979a241e2a4ca9e51d9b3,false,false,Sun May 18 2025 06:09:38 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:13 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:13 GMT+0000 (Coordinated Universal Time),true,https://cdn.prod.website-files.com/68170b56936df62525bb06bd/687256305fe95b0ea21ccc72_2021-12-13-Sunswift-test-drive-0027.avif,"<ul id=""""><li>Develop and enhance detailed CAD models for various components of the solar car. </li></ul><ul id=""""><li>Conduct Finite Element Analysis (FEA) to validate the structural integrity and optimise the performance of key mechanical components in the solar car. </li></ul><ul id=""""><li>Collaborate closely with other engineering team members to integrate designs and ensure compatibility. </li></ul><ul id=""""><li>Participate in design reviews and contribute innovative solutions to complex engineering challenges. </li></ul><ul id=""""><li>Assist in the fabrication and assembly processes, translating CAD designs into physical components. </li></ul><ul id=""""><li>Maintain open availability to support team activities, including meetings and workshops. </li></ul><ul id=""""><li>Stay updated with the latest advancements in mechanical engineering and apply relevant knowledge to our projects. </li></ul><p>‍</p>","<ul id=""""><li>Currently enrolled in a Mechanical Engineering program. </li></ul><ul id=""""><li>Proficiency in CAD software (e.g., SolidWorks) is essential. </li></ul><ul id=""""><li>Understanding of FEA software (e.g. Ansys) is highly regarded. </li></ul><ul id=""""><li>Strong understanding of mechanical design principles and engineering fundamentals. </li></ul><ul id=""""><li>Excellent problem-solving skills and the ability to think critically under pressure. </li></ul><ul id=""""><li>Effective communication and teamwork skills, with a collaborative mindset. </li></ul><ul id=""""><li>High level of motivation and a passion for sustainable technology and innovation. </li></ul><ul id=""""><li>Availability to commit to regular team meetings and contribute to the project's timeline.</li></ul><p>‍</p>",Mechanical Engineering,Engineering
Mechanical Engineering - Alternative Energies,alternative-energies-engineer-70a76,682978edd8c30949b2fd6bf0,68170b56936df62525bb06b5,682979a1b42d35f376ee4546,false,false,Sun May 18 2025 06:09:37 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:12 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:12 GMT+0000 (Coordinated Universal Time),true,https://cdn.prod.website-files.com/68170b56936df62525bb06bd/687255ac457ec0ffae7b20d2_2021-12-13-Sunswift-test-drive-0070.avif,"<ul id=""""><li>Design and optimise the mechanical integration of the hydrogen fuel system, with a focus on pressure vessel design, venting systems, and safety. </li></ul><ul id=""""><li>Develop mounting systems for pressure vessels, ensuring they meet space, weight, and safety requirements. </li></ul><ul id=""""><li>Assist with the design and testing of hydrogen-specific safety systems such as venting valves, burst disks, and pressure relief systems. </li></ul><ul id=""""><li>Model and analyse the mechanical stresses on the pressure vessel and associated components (e.g. FEA). </li></ul><p>‍</p>","<ul id=""""><li>Currently pursuing an undergraduate degree in Mechanical Engineering, Mechatronics Engineering, Aerospace Engineering, or a related field. &nbsp;</li></ul><ul id=""""><li>Proficiency in CAD software (e.g. SolidWorks) is essential. </li></ul><ul id=""""><li>Strong understanding of mechanical design principles and engineering fundamentals. </li></ul><ul id=""""><li>Ability to work collaboratively in a multidisciplinary team environment and effectively communicate technical information. </li></ul><ul id=""""><li><strong id="""">Bonus</strong> - Experience with software such as MATLAB, Simulink, or equivalent for energy system simulations &nbsp;</li></ul><ul id=""""><li><strong id="""">Bonus</strong> - Interest or experience in CFD simulations, particularly for wheel well air intake and exhaust designs. </li></ul><ul id=""""><li><strong id="""">Bonus</strong> - Interest or experience in machining and manufacturing processes. </li></ul><ul id=""""><li><strong id="""">Bonus</strong> - Experience with welding or willingness to learn welding skills. </li></ul>",Mechanical Engineering,Engineering
Mechanical Powertrain Engineer,powertrain-engineer,682978edd8c30949b2fd6bf0,68170b56936df62525bb06b5,6879fa536e8a778ec958a585,false,false,Fri Jul 18 2025 07:40:03 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:12 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:12 GMT+0000 (Coordinated Universal Time),true,https://cdn.prod.website-files.com/68170b56936df62525bb06bd/687a015f04cb7026feac550a_2021-12-13-Sunswift-test-drive-0094.avif,"<ul id=""""><li>Collaborate closely with electrical and control engineers to ensure proper integration of motors, inverters, and transmission systems. </li></ul><ul id=""""><li>Design, analyse and optimise mechanical drivetrain components for a high-performance electric vehicle, including housings, gears, couplings, shafts, and mounts. </li></ul><ul id=""""><li>Maintenance and diagnosis of powertrain systems during vehicle testing </li></ul><p>‍</p>","<ul id=""""><li id="""">Prior experience working on drivetrain, transmission, or powertrain-related projects (internship, competition team, or personal project) - (bonus but not required). </li><li id="""">Proficiency in CAD  </li><li id="""">Understanding of mechanical design principles (especially related to rotating systems). </li><li id="""">Ability to work independently and collaboratively in a fast-paced, interdisciplinary team. </li><li id="""">Strong communication skills and a problem-solving mindset. </li><li id="""">Ability to learn quickly and adapt to change</li></ul>",Mechanical Engineering,Engineering
Media Officer,media-officer,682978edd8c30949b2fd6bf0,68170b56936df62525bb06b5,682979a0b6a5b758937657b3,false,false,Sun May 18 2025 06:09:36 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:12 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:12 GMT+0000 (Coordinated Universal Time),true,https://cdn.prod.website-files.com/68170b56936df62525bb06bd/6872530f88eb67bdb268612e_systems%20engineer.avif,"<p id="""">This role involves the planning, communication and creation of all things media. Thoroughly overseeing the social media channels, contacting partners, determining success of current media activations and implementing communications plans are all crucial elements of this role.&nbsp;</p><p id=""""><br></p><p id="""">The media officer is also responsible for ensuring consistent messaging and branding across media platforms in collaboration with other media team members. This role may also involve being in communication with external media platforms, including blogs, news sites and influencers.</p>",,Media,Media
Media Strategist ,media-strategist,682978edd8c30949b2fd6bf0,68170b56936df62525bb06b5,69d5153f48612a3655708ef0,false,false,Tue Apr 07 2026 14:31:27 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:13 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:13 GMT+0000 (Coordinated Universal Time),true,https://cdn.prod.website-files.com/68170b56936df62525bb06bd/69d5c683b76883b8ce7852cf_Media%20Strategist.jpg,"<p>This role involves strategizing, planning, and analysing the success of the media function of the team.</p><p><a href=""https://forms.cloud.microsoft/Pages/ResponsePage.aspx?id=pM_2PxXn20i44Qhnufn7o7pdhLeqwPNNryop8wbNiK9UMERaOFI2QkgzMTY4Q1NHTjRPMUROVk5OWS4u"" target=""_blank"">Apply for this role here!</a></p><p>‍</p>",<ul><li>Create a media strategy that aligns with team values and objectives </li></ul><ul><li>Planning media tactics and calendars </li></ul><ul><li>Ensuring and analysing the success of media outcomes and setting media objectives &nbsp;</li></ul><p>‍</p>,Media,Media
Partner and External Media,partner-and-external-media-2,682978edd8c30949b2fd6bf0,68170b56936df62525bb06b5,69e58d2d21b961fd19d439bb,false,false,Mon Apr 20 2026 02:19:25 GMT+0000 (Coordinated Universal Time),Mon Apr 20 2026 03:02:56 GMT+0000 (Coordinated Universal Time),Mon Apr 20 2026 03:02:56 GMT+0000 (Coordinated Universal Time),false,https://cdn.prod.website-files.com/68170b56936df62525bb06bd/69d5c636cfdd38f1e431b642_Extern%20Media.jpg,"<p>Part of Sunswift’s operations involve partners and external media outlets that assistin the publicity and resources. This role involves maintaining partnerrelations, planning content.</p><p>‍</p>",<p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Ensure partnermedia obligations are met</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Communicatingwith external parties and media outlets</p><p>‍</p>,Media,Media
Partnerships & Sponsorship Manager,partnerships-sponsorship-manager,682978edd8c30949b2fd6bf0,68170b56936df62525bb06b5,682979a1b425701063794ace,false,false,Sun May 18 2025 06:09:37 GMT+0000 (Coordinated Universal Time),Mon Apr 20 2026 03:03:47 GMT+0000 (Coordinated Universal Time),Mon Apr 20 2026 03:03:47 GMT+0000 (Coordinated Universal Time),true,https://cdn.prod.website-files.com/68170b56936df62525bb06bd/687252f4c3f56167133904df_2021-12-13-Sunswift-test-drive-0007.jpg,"<p>This role involves supporting the Team Principal in securing new sponsorship agreements, while also helping oversee communications and managing existing relationships.&nbsp;<br></p><p>This includes developing and executing authentic partner activations alongside the Media team and Events team where necessary. It also involves tracking the impact of partnerships for reporting purposes and coordinating partner hosting experiences at events such as track days or offsites.</p><p>‍</p><ul><li>Identify and approach potential sponsors and industry partners &nbsp;</li></ul><ul><li>Develop sponsorship proposals, pitch decks, and outreach strategies &nbsp;</li></ul><ul><li>Maintain relationships with existing partners &nbsp;</li></ul><ul><li>Coordinate sponsor deliverables (branding, activations, reports) &nbsp;</li></ul><ul><li>Track partnership value and ensure mutual benefit &nbsp;</li></ul><ul><li>Support sponsor engagement at events and competitions &nbsp;</li></ul><p>‍</p>","<ul><li>Strong communication and interpersonal skills &nbsp;</li></ul><ul><li>Confidence in professional outreach (email, LinkedIn, meetings) &nbsp;</li></ul><ul><li>Interest in business development and relationship management &nbsp;</li></ul><ul><li>Ability to work independently and take initiative &nbsp;</li></ul><ul><li>Presentation and pitching skills are highly valued </li></ul><p>‍</p>",Business,Business
Performance Optimisation Engineer,performance-optimisation-engineer,682978edd8c30949b2fd6bf0,68170b56936df62525bb06b5,682979a1d8c30949b2fdb198,false,false,Sun May 18 2025 06:09:37 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:13 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:13 GMT+0000 (Coordinated Universal Time),true,https://cdn.prod.website-files.com/68170b56936df62525bb06bd/691054910cc6cca6fed9c6c9_image%20(1).jpg,"<ul><li>Develop and maintain simulation tools and modelling SR8’s energy consumption</li><li>Implement optimisation algorithms (e.g. route planning, control tuning, race strategy).</li><li>Analyse telemetry datasets and extract insights to improve performance and efficiency.</li><li>Build and validate predictive models using statistical or ML methods.</li><li>Collaborate closely with other teams to translate mathematical outputs into actionable engineering decisions.</li><li>Integrate model results into Sunswift’s telemetry, display, or simulation frameworks.</li><li>Contribute to improving codebases for reproducibility, speed, and clarity.</li></ul><p id="""">‍</p>","<ul id=""""> &nbsp;<li id="""">Strong mathematical and statistical reasoning ability<br></li><li id="""">Proficiency in Python <br></li><li id="""">Familiarity with scientific libraries (NumPy,SciPy, pandas, scikit-learn, PyTorch, etc.).<br></li><li id="""">Willingness to learn optimisation methods and other mathematical methods for modelling.<br></li><li id="""">Experience with data visualisation and validation of models using empirical data.<br></li><li id="""">Excellent communication and documentation skills; you can explain complex models clearly.<br></li><li id="""">Self-driven and curious; able to work independently and learn fast.</li><li id="""">AWS Sagemaker / Docker experience is a bonus</li><li>Experience in CV and/or RL is highly desired</li></ul>",Software Engineering,Engineering
Project Manager,project-manager,682978edd8c30949b2fd6bf0,68170b56936df62525bb06b5,682979a296b71bb55d525274,false,false,Sun May 18 2025 06:09:38 GMT+0000 (Coordinated Universal Time),Mon Apr 20 2026 03:03:47 GMT+0000 (Coordinated Universal Time),Mon Apr 20 2026 03:03:47 GMT+0000 (Coordinated Universal Time),true,https://cdn.prod.website-files.com/68170b56936df62525bb06bd/6872538b2d18853d766cdb92_2021-12-13-Sunswift-test-drive-0045.jpg,"<ul><li>Design and deliver outreach programs (e.g. school engagement, EDI initiatives) &nbsp;</li></ul><ul><li>Promote diversity, inclusion, and accessibility within Sunswift &nbsp;</li></ul><ul><li>Build relationships with external communities and organisations &nbsp;</li></ul><ul><li>Organise workshops, talks, and engagement events &nbsp;</li></ul><ul><li>Represent Sunswift in public-facing initiatives &nbsp;</li></ul><ul><li>Support long-term impact and community engagement strategy &nbsp;</li></ul><p>‍</p>","<ul><li>Passion for diversity, inclusion, and community impact &nbsp;</li></ul><ul><li>Strong communication and interpersonal skills &nbsp;</li></ul><ul><li>Initiative in creating and leading programs &nbsp;</li></ul><ul><li>Ability to engage with diverse audiences &nbsp;</li></ul><ul><li>Event planning or outreach experience (preferred) </li></ul><p> </p><p>‍</p>",Business,Business
