Role Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Active?,Role Image,Responsibilities,Requirements,Discipline,School
Electrical Hardware PCB Engineer,electrical-hardware-pcb-engineer,682978edd8c30949b2fd6bf0,68170b56936df62525bb06b5,6829799fd8c30949b2fdb100,false,false,Sun May 18 2025 06:09:35 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:13 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:13 GMT+0000 (Coordinated Universal Time),true,https://cdn.prod.website-files.com/68170b56936df62525bb06bd/687255258b459659a5484d90_2021-12-13-Sunswift-test-drive-0097.avif,"<ul id=""""><li>Design PCBs for embedded systems that will handle the control and monitoring of various vehicle subsystems, including power management, sensor data acquisition, and communication. </li></ul><ul id=""""><li>Select and source appropriate components for PCBs, considering factors such as power requirements, environmental conditions, size constraints, and cost-effectiveness. </li></ul><ul id=""""><li>Design electrical schematics using Altium PCB design software to ensure correct connections and functionality between components. </li></ul><ul id=""""><li>Hand assembly of components onto PCB boards in the UNSW makerspace. </li></ul><ul id=""""><li>Perform simulations and tests on PCB designs to ensure all design requirements are met. Prototype and test PCB designs to further ensure all electrical characteristics are within specifications and that the board operates reliably under various conditions. </li></ul><ul id=""""><li>Integrate PCB with communication protocols of the car, ensuring seamless communication between sensor and user. </li></ul><ul id=""""><li>Work with the Energy Systems and Mechanical department team to integrate PCBs, monitoring a plethora of systems, such as battery, solar panels, brake pressure, autonomous parking, and more. </li></ul><ul id=""""><li>Coordination with the Embedded software team for firmware and rigorous testing of designs. </li></ul>","<ul id=""""><li>Pursuing an undergraduate degree in Electrical Engineering, Mechatronics, or a related field. </li></ul><ul id=""""><li>Experience in PCB design, with knowledge of design rules, component placement, and signal integrity considerations. </li></ul><ul id=""""><li>Familiarity with PCB manufacturing processes and the ability to troubleshoot identified PCB issues. </li></ul><ul id=""""><li>Strong attention to detail and ability to work through multiple design iterations. </li></ul>",Electrical Engineering,Engineering
Electrical Powertrain Engineer,electrical-powertrain-engineer,682978edd8c30949b2fd6bf0,68170b56936df62525bb06b5,69111c1c3315e6861a0ed573,false,false,Sun Nov 09 2025 22:56:28 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:12 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:12 GMT+0000 (Coordinated Universal Time),true,https://cdn.prod.website-files.com/68170b56936df62525bb06bd/6911438f20de4e6f3f123300_Elec%20PWT.jpg,"<ul id=""""><li>Understanding, maintaining and diagnosing powertrain-related electrical systems. &nbsp;</li></ul><ul id=""""><li>Collaborate closely with control engineers to ensure proper integration of motors and inverters. &nbsp;</li></ul><ul id=""""><li>Design, optimise and analyse electrical powertrain components for a high-performance electric vehicle. &nbsp;</li></ul>","<ul id=""""><li>Solid foundation and understanding in electrical circuit design-ELEC2134. </li></ul><ul id=""""><li>Understanding of electric machines and power electronics- ELEC3105 (preferred). </li></ul><p>‍</p>",Electrical Engineering,Engineering
Embedded Systems Sensor Engineer,embedded-systems-sensor-engineer,682978edd8c30949b2fd6bf0,68170b56936df62525bb06b5,682979a016de3744b0ce0562,false,false,Sun May 18 2025 06:09:36 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:12 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:12 GMT+0000 (Coordinated Universal Time),false,https://cdn.prod.website-files.com/68170b56936df62525bb06bd/68725459a1797499826c20d9_2021-12-13-Sunswift-test-drive-0077.jpg,"<ul id="""">  <li>Design and implement a multitude of sensors to monitor critical vehicle parameters in real time, such as temperature, current, voltage, and drive functions.</li>  <li>Research and select appropriate sensors for various applications, considering factors such as accuracy, sensitivity, power consumption, and environmental durability.</li>  <li>Utilise relevant communication protocol to ensure integration of sensor with the wider vehicle and user.</li>  <li>Calibrate sensors and perform signal processing to filter noise and ensure the accuracy of the data being collected.</li>  <li>Communicate requirements necessary to develop software or firmware to read sensor data and communicate it to other vehicle systems.</li>  <li>Perform real-world testing of sensor systems in the vehicle, troubleshooting issues with data accuracy or communication and making necessary adjustments.</li>  <li>Document sensor system designs, including calibration procedures and integration guidelines for future teams.</li></ul>","<ul id="""">  <li>Pursuing an undergraduate degree in Electrical Engineering, Mechatronics, Software Engineering or related fields.</li>  <li>Experience with a multitude of sensor technologies and experience in integrating sensors into embedded systems.</li>  <li>Experience with Python and C is preferred.</li>  <li>Knowledge of signal processing techniques to handle noisy or complex data.</li>  <li>Strong problem-solving skills and ability to work with both hardware and software.</li></ul>",Electrical Engineering,Engineering
Embedded Systems Software Engineer,embedded-systems-software-engineer,682978edd8c30949b2fd6bf0,68170b56936df62525bb06b5,682979a1292840b5a732f392,false,false,Sun May 18 2025 06:09:37 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:13 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:13 GMT+0000 (Coordinated Universal Time),true,https://cdn.prod.website-files.com/68170b56936df62525bb06bd/691141860170aec3288bc7bd_Embedded%20Software.JPG,"<h5><strong>High Level Embedded Systems</strong></h5><ul id=""""><li id="""">Design, develop, and implement embedded systems for Sunswift 8. </li><li id="""">Plan and implement high- and low-level control systems for Sunswift’s vehicles. &nbsp;</li><li>Develop and deploy applications on QNX-based systems</li><li>Contribute to overall system architecture and ensure software scalability, reliability, and maintainability.</li><li>Collaborate with electrical and mechanical teams to ensure seamless hardware–software integration.</li><li>Use modern development practices including GitHub version control, CI/CD, documentation, and agile workflows (e.g. Jira)</li><li id="""">Develop and maintain documentation for embedded systems and related software.</li></ul><h5 id=""""><strong id="""">Low Level Embedded Systems (Firmware)</strong></h5><ul id=""""><li id="""">Develop and optimize firmware for STM32 microcontrollers and other embedded platforms across multiple PCBs in the vehicle.</li><li id="""">Interface with hardware using UART, SPI, I²C, CAN, PWM, and related communication protocols.</li><li id="""">Read and interpret datasheets and hardware schematics to design reliable and efficient firmware.</li><li id="""">Support PCB bring-up, integration, and debugging using oscilloscopes, logic analysers, and debuggers.</li><li id="""">Assist in hardware component selection (sensors, actuators, compute modules) and ensure electrical compatibility.</li><li id="""">Collaborate closely with embedded hardware engineers to ensure stable and fault-tolerant system operation.</li></ul><p>‍</p><p>‍</p>","<ul id=""""><li id="""">Currently pursuing a degree in Mechatronics, Computer Engineering, Computer Science, or a related discipline.</li><li id="""">Proficiency in programming languages such as C/C++ and Python.</li><li id="""">Familiarity with embedded software toolchains, real-time operating systems (RTOS/QNX), and communication protocols (CAN, UART, I²C, SPI).</li><li id="""">Strong understanding of software design principles, modular architecture, and real-time constraints.</li><li id="""">Excellent problem-solving and collaboration skills, with the ability to work across software, electrical, and mechanical domains.</li><li id="""">Passion for sustainable automotive technologies and real-world engineering innovation.</li></ul>",Software Engineering,Engineering
Energy Systems MPPT Engineer,energy-systems-mppt-engineer,682978edd8c30949b2fd6bf0,68170b56936df62525bb06b5,682979a1292840b5a732f35f,false,false,Sun May 18 2025 06:09:37 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:13 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:13 GMT+0000 (Coordinated Universal Time),false,https://cdn.prod.website-files.com/68170b56936df62525bb06bd/687254a861b8e8a2b3d8f57c_2021-12-13-Sunswift-test-drive-0035.jpg,"<ul id="""">  <li>Design, construct, test and implement an MPPT to efficiently extract energy from onboard solar panels.</li>  <li>Conduct simulation and analyses to model MPPT performance under different operating conditions, test and validate.</li>  <li>Explore new and innovative MPPT technologies and assess them for viability in a solar car environment.</li>  <li>Collaborate with a multitude of departments to ensure the overall system meets the relevant ADR.</li></ul>","<ul id="""">  <li>Currently pursuing an undergraduate degree in Electrical Engineering, Mechatronics, Photovoltaics, or a related field.</li>  <li>2nd year and above.</li>  <li>Knowledge about existing MPPT technologies is essential.</li>  <li>Familiarity with software for electrical schematics and design (e.g., Altium).</li>  <li>Strong analytical skills and attention to detail.</li>  <li>Ability to work in a cross-disciplinary team and manage time effectively.</li></ul>",Electrical Engineering,Engineering
Energy Systems Power Distribution Engineer,energy-systems-battery-engineer,682978edd8c30949b2fd6bf0,68170b56936df62525bb06b5,682979a3d8c30949b2fdb26e,false,false,Sun May 18 2025 06:09:39 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:13 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:13 GMT+0000 (Coordinated Universal Time),true,https://cdn.prod.website-files.com/68170b56936df62525bb06bd/6872555bb6e2f0969c2552a4_2021-12-13-Sunswift-test-drive-0023.avif,"<ul><li>Design, construct, test and implement an innovative HV Li-ion battery for SR8 in conjunction with our industry partner. </li></ul><ul><li>Work on auxiliary battery systems such as charging, dc/dc converters and electrical control systems to interface the battery with other components in SR8 </li></ul><ul><li>Implement battery management systems (BMS) to monitor battery health, battery cycles and safe charging/discharging cycles. </li></ul><ul><li>Integrate the battery with other power systems such as solar panels and hydrogen fuel cells. </li></ul><ul><li>Collaborate with a multitude of departments to ensure the overall system meets the relevant ADR. </li></ul><ul><li>Work in a team to design an electrical control system to interface SR8s unique tri-brid energy system. </li></ul><p>‍</p>","<ul><li>Currently pursuing an undergraduate degree in Electrical Engineering, Mechatronics, or a related field. </li></ul><ul><li>2nd year and above. </li></ul><ul><li>Knowledge about battery systems, particularly Li-ion, is preferred but not essential. </li></ul><ul><li>Familiarity with software for electrical schematics (e.g., Altium). </li></ul><ul><li>Strong analytical skills and attention to detail. </li></ul><ul><li>Ability to work in a cross-disciplinary team and manage time effectively. </li></ul>",Electrical Engineering,Engineering
Financial Forecasting and Procurement,financial-forecasting-and-procurement,682978edd8c30949b2fd6bf0,68170b56936df62525bb06b5,682979a234450f4a548ad86e,false,false,Sun May 18 2025 06:09:38 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:13 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:13 GMT+0000 (Coordinated Universal Time),true,https://cdn.prod.website-files.com/68170b56936df62525bb06bd/687253600c4ce3b67ef359bb_2021-12-13-Sunswift-test-drive-0008.jpg,"<p id="""">While partners help cover a large amount of costs, there is still the need for the team to spend significant money or procuring parts and workshop equipment, as well as paying for event registration/transport/accommodation.<br></p><p id="""">A student in this role would be responsible for overseeing the various Sunswift accounts to understand the financial state of the project. This includes monitoring project budgets and reviewing procurement requests.&nbsp;<br></p><p id="""">They will also produce financial forecasts to help determine how funding should be allocated in the future, surrounding major milestones such as events or car development.</p>",,Business,Business
Fluids Engineer – Chassis and Bodywork,fluids-engineer---chassis-and-bodywork,682978edd8c30949b2fd6bf0,68170b56936df62525bb06b5,682979a270093a50cc544e2c,false,false,Sun May 18 2025 06:09:38 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:12 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:12 GMT+0000 (Coordinated Universal Time),false,https://cdn.prod.website-files.com/68170b56936df62525bb06bd/687255ac457ec0ffae7b20d2_2021-12-13-Sunswift-test-drive-0070.jpg,"<ul id="""">  <li>Design and integration of automotive <strong id="""">thermal </strong>management systems.&nbsp;</li>  <li>Optimise part performance and ensure compliance with Australian standards by using simulation software and real-world testing to analyse and evaluate components.</li>  <li>Collaborate effectively with engineers across departments and disciplines to ensure optimal integration of mechanical and electrical subsystems.</li>  <li>Keep up to date with advancements in materials science, manufacturing, and automotive engineering to be able to apply recent engineering innovations to current projects.</li></ul>","<ul id="""">  <li>Currently pursuing an undergraduate degree in Aerospace Engineering, Mechanical Engineering, Mechatronics Engineering or a related field.</li>  <li>Proficiency in CAD software (e.g., SolidWorks) is essential.</li>  <li>Strong understanding of thermodynamics and fluid mechanics.</li>  <li>Bonus – proficiency in CFD.</li>  <li>Bonus - robotics experience or knowledge of electrical systems.</li></ul>",Mechanical Engineering,Engineering
Graphic Designer ,graphic-designer,682978edd8c30949b2fd6bf0,68170b56936df62525bb06b5,69d5158afc1c0aee3920f511,false,false,Tue Apr 07 2026 14:32:42 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:13 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:13 GMT+0000 (Coordinated Universal Time),true,https://cdn.prod.website-files.com/68170b56936df62525bb06bd/69d5c65992e9e86841dfa5d8_Graphic%20Designer.JPG,"<p>Working closely with other roles in the media team, graphic designers will project a strong visual identity and brand voice that represents Sunswift Racing’s values and objectives.</p><p><a href=""https://forms.cloud.microsoft/Pages/ResponsePage.aspx?id=pM_2PxXn20i44Qhnufn7o7pdhLeqwPNNryop8wbNiK9UMERaOFI2QkgzMTY4Q1NHTjRPMUROVk5OWS4u"" target=""_blank"">Apply for this role here!</a></p><p>‍</p>",<ul><li>Curate visual media and brand assets </li></ul><ul><li>Form a strong visual identity </li></ul><ul><li>Experience in Adobe Suite or Canva preferred </li></ul><p>‍</p>,Media,Media
Human Resources,human-resources,682978edd8c30949b2fd6bf0,68170b56936df62525bb06b5,682979a086372c6792d7b705,false,false,Sun May 18 2025 06:09:36 GMT+0000 (Coordinated Universal Time),Mon Apr 20 2026 03:03:18 GMT+0000 (Coordinated Universal Time),Mon Apr 20 2026 03:03:18 GMT+0000 (Coordinated Universal Time),true,https://cdn.prod.website-files.com/68170b56936df62525bb06bd/6872530f88eb67bdb268612e_systems%20engineer.jpeg,"<p>Due to recruiting new team members every term, there is a constant stream of students joining and leaving the team each term. HR will involve all steps of the process, including:</p><ul><li>Manage recruitment cycles, applications, and interviews &nbsp;</li></ul><ul><li>Coordinate onboarding and offboarding processes &nbsp;</li></ul><ul><li>Maintain internal documentation and team records &nbsp;</li></ul><ul><li>Plan team bonding initiatives and culture-building activities &nbsp;</li></ul><ul><li>Support member engagement and retention strategies &nbsp;</li></ul><ul><li>Ensure clear communication of expectations and team structure &nbsp;</li></ul>","<ul><li>Strong organisational and people skills &nbsp;</li></ul><ul><li>Ability to handle sensitive information professionally &nbsp;</li></ul><ul><li>Interest in HR, leadership, or team management &nbsp;</li></ul><ul><li>Good communication and conflict resolution skills &nbsp;</li></ul><ul><li>Reliability and consistency in administrative tasks </li></ul><p>‍</p>",Business,Business
